epoch,loss,validation_loss
0.0,0.00721657183021307,7.581602403661236e-05
1.0,4.2305662645958364e-05,2.3701410100329667e-05
2.0,1.3366741768550128e-05,1.0004849173128605e-05
3.0,8.061607331910636e-06,8.03391776571516e-06
4.0,6.582545211131219e-06,6.928744369361084e-06
5.0,5.7161078075296246e-06,6.086646408220986e-06
6.0,5.101926035422366e-06,5.4277088565868326e-06
7.0,4.6239979383244645e-06,4.888956482318463e-06
8.0,4.226517376082484e-06,4.425669885677053e-06
9.0,3.876531081914436e-06,4.020697360829217e-06
10.0,3.5522507459972985e-06,3.6841465771431103e-06
11.0,3.2432999432785437e-06,3.378494511707686e-06
12.0,2.940248577942839e-06,2.927917421402526e-06
13.0,2.6493819405004615e-06,2.4307685180247063e-06
14.0,2.3801203496987e-06,2.085771711790585e-06
15.0,2.1395430849224795e-06,1.7103938034779276e-06
16.0,1.919714804898831e-06,1.4112499684415525e-06
17.0,1.7295076304435497e-06,1.2398570561344968e-06
18.0,1.5746057897558785e-06,1.13126634460059e-06
19.0,1.4472406064669485e-06,1.0571015991445165e-06
20.0,1.3412696944214986e-06,1.003712100100529e-06
21.0,1.252451056643622e-06,9.58607529355504e-07
22.0,1.1763839893319528e-06,9.141382406596676e-07
23.0,1.1094740557382465e-06,8.685007628628227e-07
24.0,1.049594970936596e-06,8.25666347736842e-07
25.0,9.969479606297682e-07,7.788390803398215e-07
26.0,9.494128221376741e-07,7.501402023990522e-07
27.0,9.061096193363483e-07,7.109277362360444e-07
28.0,8.660237540425442e-07,6.912338790243666e-07
29.0,8.311782266900991e-07,6.567257742062793e-07
30.0,7.993844519660342e-07,6.18176727584796e-07
31.0,7.703072242293274e-07,5.823777655677986e-07
32.0,7.435156703650136e-07,5.5087508599172e-07
33.0,7.185880690485646e-07,5.228152417657839e-07
34.0,6.953052320568531e-07,4.976432137482334e-07
35.0,6.733623081345286e-07,4.741860379908758e-07
36.0,6.52526523481356e-07,4.51306789273076e-07
37.0,6.325898880277236e-07,4.292500648261921e-07
38.0,6.133800525276456e-07,4.1254756411035487e-07
39.0,5.948755301687925e-07,4.0006113977142377e-07
40.0,5.772170084128447e-07,3.896280134085828e-07
41.0,5.606745503428101e-07,3.799507908297528e-07
42.0,5.451265110423265e-07,3.717664185387548e-07
43.0,5.300162797539087e-07,3.639776480213186e-07
44.0,5.151862865204748e-07,3.564281882972864e-07
45.0,5.008384391658183e-07,3.489075481866166e-07
46.0,4.870836392001365e-07,3.414722300476569e-07
47.0,4.737696883694298e-07,3.342261720717943e-07
48.0,4.610045039044053e-07,3.2746109468462237e-07
49.0,4.487975218125939e-07,3.2128886573445925e-07
50.0,4.370080546323152e-07,3.1578093739881297e-07
51.0,4.2558232848932676e-07,3.108898170012253e-07
52.0,4.145043135395099e-07,3.0638588555120805e-07
53.0,4.037718781546573e-07,3.020992949132051e-07
54.0,3.933782579679246e-07,2.978030693157052e-07
55.0,3.8331145901793207e-07,2.937493093213561e-07
56.0,3.7356380744313356e-07,2.9002339374528674e-07
57.0,3.641148680344486e-07,2.8685562369901163e-07
58.0,3.5497583894539275e-07,2.8379278660395357e-07
59.0,3.4613324828569603e-07,2.812703314702958e-07
60.0,3.3757478945517505e-07,2.787712389817898e-07
61.0,3.2931228588495287e-07,2.7517586431713426e-07
62.0,3.21349602927512e-07,2.706898101223487e-07
63.0,3.1369978614748106e-07,2.6555468934930104e-07
64.0,3.063707936235005e-07,2.5979059614655853e-07
65.0,2.9933582368357747e-07,2.5306385964540823e-07
66.0,2.925869750924903e-07,2.450483975735551e-07
67.0,2.8607846047634666e-07,2.3708450669346348e-07
68.0,2.7988932060907246e-07,2.3152337291776348e-07
69.0,2.739448632382846e-07,2.2690311141104758e-07
70.0,2.6825927079698886e-07,2.228939592896495e-07
71.0,2.6279676035301236e-07,2.1947037964764604e-07
72.0,2.5758384936125367e-07,2.1650438952747209e-07
73.0,2.5254880142711045e-07,2.1429447372156574e-07
74.0,2.477538032508164e-07,2.124341733633628e-07
75.0,2.431532379887358e-07,2.1075055656183395e-07
76.0,2.3875617216617684e-07,2.092507997986104e-07
77.0,2.345363441236259e-07,2.0775263465111493e-07
78.0,2.304837920519276e-07,2.062127890667398e-07
79.0,2.265865077788476e-07,2.0462917404984182e-07
80.0,2.2283232681274967e-07,2.0300748815316183e-07
81.0,2.1924222437519347e-07,2.0087550467451365e-07
82.0,2.1577935171990248e-07,1.986753090932325e-07
83.0,2.1243209857857437e-07,1.9608670243087545e-07
84.0,2.0920280974223715e-07,1.9332429701535148e-07
85.0,2.0609392947790184e-07,1.9040601273445645e-07
86.0,2.0309606441060168e-07,1.8737877383045998e-07
87.0,2.0020166857648292e-07,1.8437673077187355e-07
88.0,1.9738553191928077e-07,1.8118876710104814e-07
89.0,1.9463885791992652e-07,1.7789470518891903e-07
90.0,1.91998779541791e-07,1.7478578229201958e-07
91.0,1.894201204777346e-07,1.7148340702988207e-07
92.0,1.8691029879391863e-07,1.6820506232306798e-07
93.0,1.8447562410983664e-07,1.650962246912968e-07
94.0,1.8212270447293122e-07,1.6180274542421103e-07
95.0,1.7982338818001153e-07,1.5871550829160697e-07
96.0,1.77570768755686e-07,1.5573101563859382e-07
97.0,1.753810749960394e-07,1.5267883668457216e-07
98.0,1.7323715439943044e-07,1.497524806381989e-07
99.0,1.7118553330419672e-07,1.4704392015119083e-07
100.0,1.6911592126689357e-07,1.4421669902731082e-07
101.0,1.671670872838149e-07,1.415145476357793e-07
102.0,1.651395962198876e-07,1.3902025841616705e-07
103.0,1.632796085004884e-07,1.3661266962117224e-07
104.0,1.6145369841069623e-07,1.340548152484189e-07
105.0,1.5966152488999796e-07,1.3163283085759758e-07
106.0,1.5781584750129696e-07,1.294425260311982e-07
107.0,1.5613254333857185e-07,1.272184277922861e-07
108.0,1.5441550260675285e-07,1.2516052549926826e-07
109.0,1.527493651565237e-07,1.232915280979796e-07
110.0,1.5109854700767755e-07,1.2154151818322134e-07
111.0,1.4950609283914673e-07,1.1929182619496714e-07
112.0,1.4792944114105921e-07,1.1743768624228323e-07
113.0,1.4642127155184426e-07,1.1570396196702859e-07
114.0,1.448894408895285e-07,1.139819758577687e-07
115.0,1.434280676448907e-07,1.1236045338591794e-07
