epoch,loss,validation_loss
0.0,0.004383335821330547,0.00016711888019926846
1.0,9.976828732760623e-05,6.279262743191794e-05
2.0,4.721147706732154e-05,3.13722703140229e-05
3.0,2.5254244974348694e-05,1.7628051864448935e-05
4.0,1.6497044271091e-05,1.3593858056992758e-05
5.0,1.2842242540500592e-05,1.1557803190953564e-05
6.0,1.0247181307931896e-05,9.73564510786673e-06
7.0,8.057035302044824e-06,7.755158549116459e-06
8.0,6.2814624470775016e-06,6.061793101252988e-06
9.0,4.853123300563311e-06,4.650253231375245e-06
10.0,3.730745902430499e-06,3.304494612166309e-06
11.0,2.904350139942835e-06,2.603212578833336e-06
12.0,2.3192644675873453e-06,2.1612768250633962e-06
13.0,1.8969593611473101e-06,1.847454200287757e-06
14.0,1.5936456065901439e-06,1.5639382127119461e-06
15.0,1.377354124088015e-06,1.3679295989277307e-06
16.0,1.2147684174124151e-06,1.2310299553064397e-06
17.0,1.083071197172103e-06,1.1093502507719677e-06
18.0,9.714333373267436e-07,1.0094597655552207e-06
19.0,8.757182285989984e-07,9.246861054634792e-07
20.0,7.932442258606898e-07,8.465837026960799e-07
21.0,7.214532615762437e-07,7.70141582506767e-07
22.0,6.588503538296209e-07,6.997445893830445e-07
23.0,6.025542802490236e-07,6.072677933843806e-07
24.0,5.512401344276441e-07,5.262304512143601e-07
25.0,5.06826665969129e-07,4.02668149490637e-07
26.0,4.6815245013931417e-07,3.5547679999581305e-07
27.0,4.3382064518482366e-07,3.456763977283117e-07
28.0,4.0327822148356063e-07,3.334175744384993e-07
29.0,3.762252163141966e-07,3.119449161204102e-07
30.0,3.52024358107883e-07,2.854918079719937e-07
31.0,3.300518471860414e-07,2.596711112801131e-07
32.0,3.099399634720612e-07,2.3278484206912253e-07
33.0,2.915418519933155e-07,2.042605729002389e-07
34.0,2.748535052887746e-07,1.8038056737168517e-07
35.0,2.5971348804887384e-07,1.629340289355241e-07
36.0,2.4589593294876977e-07,1.523132624470236e-07
37.0,2.332642736746493e-07,1.492191614715921e-07
38.0,2.2153726320084388e-07,1.4928137659353524e-07
39.0,2.1073445566344162e-07,1.4688437488530326e-07
40.0,2.0082416085642762e-07,1.4168234940825641e-07
41.0,1.9200309964162443e-07,1.359389045774151e-07
42.0,1.8400390899842023e-07,1.3047839786395343e-07
43.0,1.766625956634016e-07,1.2527640080861602e-07
44.0,1.698820142337354e-07,1.2019413020425418e-07
45.0,1.635844597558389e-07,1.1529061794135487e-07
46.0,1.5771490780025488e-07,1.1050496340203608e-07
47.0,1.5222977367557178e-07,1.0590881061034452e-07
48.0,1.4709833351389534e-07,1.015324713193877e-07
49.0,1.4228821498818434e-07,9.740978157424252e-08
50.0,1.377759986098681e-07,9.355767360830214e-08
51.0,1.3354033967516443e-07,8.999990086522303e-08
52.0,1.295627214403794e-07,8.674764728766604e-08
53.0,1.25823433450023e-07,8.376465387982535e-08
54.0,1.2230489687681256e-07,8.104466786562625e-08
55.0,1.1899074792154352e-07,7.858751160938482e-08
56.0,1.1586168824351262e-07,7.638628574113682e-08
57.0,1.1290257617702082e-07,7.442115901312718e-08
58.0,1.1009817058038607e-07,7.268109669666956e-08
59.0,1.0743482192765441e-07,7.114527278417881e-08
60.0,1.0490443713706554e-07,6.98311097835358e-08
61.0,1.0249607385048876e-07,6.868675939131208e-08
62.0,1.0020288954137868e-07,6.768727445205514e-08
63.0,9.80179493126343e-08,6.684351205876737e-08
64.0,9.593220084980203e-08,6.614676806293573e-08
65.0,9.394161537557011e-08,6.555956844067623e-08
66.0,9.203925799283752e-08,6.508191319198886e-08
67.0,9.022074465292462e-08,6.466716229169833e-08
68.0,8.847950283552564e-08,6.431171328813434e-08
69.0,8.681390539777567e-08,6.402765961865953e-08
70.0,8.521985961351675e-08,6.377027261805779e-08
71.0,8.369087822757137e-08,6.35403267779111e-08
72.0,8.221800129604162e-08,6.333442570394254e-08
73.0,8.080186120196231e-08,6.312892963933336e-08
74.0,7.944401403392476e-08,6.292977872135452e-08
75.0,7.814433189423653e-08,6.268798813380272e-08
76.0,7.689916969866317e-08,6.247950068427599e-08
77.0,7.570189808348005e-08,6.222013126944148e-08
78.0,7.455199835249005e-08,6.195108426254592e-08
79.0,7.34399634438887e-08,6.163504195910718e-08
80.0,7.23598461149777e-08,6.132489716037526e-08
81.0,7.13107155547732e-08,6.096730942317663e-08
82.0,7.029157700344513e-08,6.061516444333392e-08
83.0,6.930593343668079e-08,6.025680221455332e-08
84.0,6.835367116764246e-08,5.98884213331985e-08
85.0,6.743427150013304e-08,5.95232023670178e-08
86.0,6.654684625573282e-08,5.912400879992674e-08
87.0,6.56892851225166e-08,5.861424767772405e-08
88.0,6.486021675300435e-08,5.807058300888457e-08
89.0,6.405505814655044e-08,5.747934395117227e-08
90.0,6.326840207293571e-08,5.6855711250136665e-08
91.0,6.249817374737177e-08,5.634288413602917e-08
92.0,6.174548872195373e-08,5.5825466915848665e-08
93.0,6.100777483197817e-08,5.538845471164677e-08
94.0,6.02904393076642e-08,5.4815838979038745e-08
95.0,5.959361359941795e-08,5.399112978921039e-08
96.0,5.8917237311106874e-08,5.287464333036951e-08
97.0,5.8249604251159326e-08,5.1402537337708054e-08
98.0,5.758125709576234e-08,4.943796128031863e-08
99.0,5.690468540819893e-08,4.6644647255789096e-08
100.0,5.6275723636645125e-08,4.517970708661778e-08
101.0,5.572557881805551e-08,4.6711555512501945e-08
102.0,5.5184731451163316e-08,4.736383019121604e-08
103.0,5.462756291763071e-08,4.577035994657308e-08
104.0,5.405471270591988e-08,4.3853475517607876e-08
105.0,5.348776355162954e-08,4.2237239483711164e-08
106.0,5.2933089023099456e-08,4.0922422783751244e-08
107.0,5.239160216774508e-08,3.986392727028942e-08
108.0,5.186408813528942e-08,3.900239065046662e-08
109.0,5.135112601806213e-08,3.830027495155264e-08
110.0,5.0853561361918764e-08,3.7629039439934786e-08
111.0,5.037248129724503e-08,3.695212313914453e-08
112.0,4.990773661006642e-08,3.621179800461505e-08
113.0,4.945614406892673e-08,3.541632409564954e-08
114.0,4.900989480915996e-08,3.460004549538098e-08
115.0,4.856733681890546e-08,3.38145724754213e-08
116.0,4.812606135828901e-08,3.3150783451674215e-08
117.0,4.768794070741933e-08,3.267219383928932e-08
118.0,4.725406554939582e-08,3.2421102247326417e-08
119.0,4.6825526567317866e-08,3.238198686972282e-08
120.0,4.640425643742674e-08,3.251660274372625e-08
121.0,4.5989462904572065e-08,3.277180127270185e-08
122.0,4.5582357444118315e-08,3.310998764050055e-08
123.0,4.518214780091512e-08,3.349881794179055e-08
124.0,4.478703274912732e-08,3.3912858299345316e-08
125.0,4.4397744147772755e-08,3.4317622521484736e-08
126.0,4.401177022828051e-08,3.47241559950362e-08
127.0,4.3628286761077106e-08,3.508658963369271e-08
128.0,4.324838442926193e-08,3.5423450839289217e-08
129.0,4.287075228148751e-08,3.572705509213847e-08
130.0,4.2497138252883815e-08,3.598541908900188e-08
131.0,4.212805038150691e-08,3.6199811148662775e-08
132.0,4.1763996705412865e-08,3.63674423908833e-08
133.0,4.140550302622614e-08,3.647396340511477e-08
134.0,4.1052679478070786e-08,3.655201652463802e-08
135.0,4.070615844398162e-08,3.660307257291606e-08
136.0,4.0366163744920414e-08,3.663497949446537e-08
137.0,4.003264564289566e-08,3.664848335915849e-08
138.0,3.970603401626249e-08,3.6656288671110815e-08
139.0,3.938509962608805e-08,3.667615544600267e-08
140.0,3.9071071711305194e-08,3.670522374932261e-08
141.0,3.876298748650697e-08,3.6740015474379106e-08
142.0,3.8460871820689135e-08,3.679598847838861e-08
143.0,3.8164486682035204e-08,3.68579122778101e-08
144.0,3.7874372083024355e-08,3.694614036930943e-08
145.0,3.7590332624404255e-08,3.704516515767864e-08
146.0,3.731204856194381e-08,3.715842211704512e-08
147.0,3.7040848610558896e-08,3.7287954057774186e-08
148.0,3.677602933294111e-08,3.743542009715384e-08
149.0,3.651964775031047e-08,3.758004041287677e-08
150.0,3.6270662917559093e-08,3.774163914727069e-08
151.0,3.6029714323149165e-08,3.7909352101905824e-08
152.0,3.579648932827695e-08,3.8050774975317836e-08
153.0,3.556856853492718e-08,3.819810601157769e-08
154.0,3.5346065629937584e-08,3.833355322058196e-08
155.0,3.512745649913995e-08,3.843627283117712e-08
156.0,3.491341971084694e-08,3.851053165249141e-08
157.0,3.4703379725442574e-08,3.8558994219783926e-08
158.0,3.4496252965254826e-08,3.8597061546852274e-08
159.0,3.429172679147996e-08,3.8630410870155174e-08
160.0,3.408979054597694e-08,3.867500453225148e-08
161.0,3.3890806605541e-08,3.8745834984865724e-08
162.0,3.3695169321390495e-08,3.882081855977049e-08
163.0,3.35026975051278e-08,3.891052813287388e-08
164.0,3.331360431957364e-08,3.899674894114469e-08
165.0,3.3126998033594646e-08,3.907955203885649e-08
166.0,3.294124439889856e-08,3.91375181152398e-08
167.0,3.275584603557036e-08,3.9176423882736344e-08
168.0,3.257128255995667e-08,3.918577107242527e-08
169.0,3.2387486470497606e-08,3.913802615329587e-08
170.0,3.220520383706571e-08,3.906744083792546e-08
171.0,3.202530862722597e-08,3.892708733133077e-08
172.0,3.1848085058072684e-08,3.8737837826374744e-08
