epoch,validation_loss_s,validation_loss_T,validation_loss_p,validation_loss_c2
0.0,0.000224785893313354,0.0006583613192883009,0.00013849970983539895,0.013012836777163424
1.0,0.00032685961901070726,0.000422182234283571,0.00014848566984998487,0.01194962232572699
2.0,0.0003246251628368295,0.0002635142845348228,0.00010242346741780286,0.010994255025222275
3.0,0.0002769267059276528,0.00031019352655496755,0.00023818624119991544,0.009688834771677667
4.0,0.00017029997120091158,0.00021739927389392876,0.0001797605670310601,0.007444549465412538
5.0,0.00013136432094876076,0.00012620426597663887,0.0001535882981373279,0.006317232453139266
6.0,0.00010309035906268578,9.234808608884309e-05,7.947493290505786e-05,0.00540464390100395
7.0,7.214323455917131e-05,8.04956033714567e-05,5.009151288691312e-05,0.0046421686051697116
8.0,5.212652538630499e-05,7.501287119726905e-05,3.330293066228268e-05,0.004044006834833087
9.0,3.760878085698367e-05,6.913356581935666e-05,2.9677248633897617e-05,0.0035365801966864008
10.0,2.9383486347186787e-05,6.214441681023356e-05,2.453888619800441e-05,0.0030839898697017747
11.0,2.5424229083718398e-05,5.7061729520779e-05,1.15185241768344e-05,0.0026446434675268366
12.0,2.2759560991608155e-05,5.4308732933042467e-05,2.9242485814251504e-05,0.002375586546985546
13.0,2.167426617316578e-05,4.651361034854866e-05,2.2164435530224244e-05,0.002052807470174843
14.0,2.1075171263050234e-05,4.248667956415782e-05,1.7673616525181644e-05,0.00177705390382729
15.0,2.100408141861577e-05,4.2688014016347546e-05,8.861687845007427e-06,0.0015151389942788225
16.0,2.0470424614714597e-05,4.230140457065987e-05,8.116000867930764e-06,0.0013104015437520053
17.0,1.9908273526368486e-05,4.1363055372402285e-05,1.2427633356845046e-05,0.0011564160766511819
18.0,1.9579068555159203e-05,6.0955086624958104e-05,9.134031201085414e-06,0.001001893170553856
19.0,1.91861176005852e-05,7.568880253933361e-05,6.769467099714029e-06,0.0008703475366143764
20.0,1.9052434503107684e-05,9.065760508237439e-05,8.23294015823479e-06,0.0007811123661929427
21.0,1.8425829319171445e-05,7.61646548383994e-05,9.212776086770182e-06,0.0007017104538118781
22.0,1.82857261042766e-05,5.2185740228277534e-05,1.0479584392462792e-05,0.0006394749462901319
23.0,1.804138978047939e-05,4.511353232494136e-05,1.0738137772030329e-05,0.0005839116367691987
24.0,1.7755549907360077e-05,4.401414064378685e-05,9.469214014080487e-06,0.0005302882340520853
25.0,1.7479498573290742e-05,4.0394079149130155e-05,8.193132235553199e-06,0.00048375191176698216
26.0,1.7108070698871494e-05,3.547484424951106e-05,8.239239086294748e-06,0.0004464178176822722
27.0,1.6691351133460226e-05,3.001412721958048e-05,7.016170597038493e-06,0.0004078131399929089
28.0,1.6333302453304936e-05,2.9790410690281765e-05,6.888544673230869e-06,0.0003785743805827367
29.0,1.6018179846503627e-05,2.5710614593114725e-05,6.857207054773453e-06,0.0003519551716749141
30.0,1.5602462110027487e-05,2.2343406566866544e-05,5.3211144094576e-06,0.00032109069316293585
31.0,1.5272171943994713e-05,2.1571218869372988e-05,6.019883229497375e-06,0.0003014050917410574
32.0,1.4824625531735914e-05,1.896393501787595e-05,5.580227634133754e-06,0.0002794506208360505
33.0,1.4451666465780949e-05,1.623168943263492e-05,4.200659259054568e-06,0.00025618382339346484
34.0,1.4105372508130666e-05,1.477076179522977e-05,3.875278948713334e-06,0.00023804308721116238
35.0,1.3716799005765155e-05,1.3671322374393073e-05,4.042571151654717e-06,0.00022315329853902973
36.0,1.3369643500130825e-05,1.2671848566305807e-05,3.6377339857761683e-06,0.00020725824643094847
37.0,1.3046469432948612e-05,1.1645323813223835e-05,3.2719565230593754e-06,0.0001929784859069086
38.0,1.2766130975565686e-05,1.0734023878193855e-05,2.8245714761810794e-06,0.000179666590796717
39.0,1.2575531164292657e-05,1.0249169593660126e-05,2.3541574804659505e-06,0.0001674669644098671
40.0,1.2332529657785596e-05,9.630666447470123e-06,2.176494274716791e-06,0.0001570370980414718
41.0,1.2148692452755711e-05,9.21910647354625e-06,1.9910171237682047e-06,0.00014741529382387275
42.0,1.1973537127716245e-05,8.782341841075976e-06,1.8304005818979828e-06,0.00013869872085853585
43.0,1.1877102206271305e-05,8.544854557033082e-06,1.6449485244300917e-06,0.00013074278676101302
44.0,1.1773979230348703e-05,8.399746139410454e-06,1.5053947390649593e-06,0.00012346966847970092
45.0,1.1716415020525678e-05,8.399729874310532e-06,1.4116017628893914e-06,0.00011713264706672296
46.0,1.1639987721688212e-05,8.381026642831961e-06,1.3270763786827457e-06,0.00011130460752400039
47.0,1.1540640333467654e-05,8.311888242097849e-06,1.2430322179144486e-06,0.00010603548575553552
48.0,1.1467310440923841e-05,8.180291164476377e-06,1.2012928520175985e-06,0.00010139237197178946
49.0,1.1374165330619246e-05,7.962591580862167e-06,1.1388143759093074e-06,9.703817837282236e-05
50.0,1.1270625404970672e-05,7.737077495709322e-06,1.0944781500020267e-06,9.289361816586602e-05
51.0,1.1152779227009648e-05,7.512629338727855e-06,1.0586727761205388e-06,8.8936709710495e-05
52.0,1.1035378108109413e-05,7.250422647837683e-06,1.0218816952930432e-06,8.52072584698237e-05
53.0,1.0929205344298553e-05,6.954646579411518e-06,9.218955176566232e-07,8.16594700184689e-05
54.0,1.087741752374086e-05,6.470392098707289e-06,8.553137027053126e-07,7.851278266804974e-05
55.0,1.0747545264635203e-05,6.28308677545692e-06,8.212254915197287e-07,7.524218484738582e-05
56.0,1.0673559601054193e-05,5.909711854355552e-06,7.619661398733705e-07,7.222369520217311e-05
57.0,1.0534521266922772e-05,5.663070213966355e-06,7.118591927786353e-07,6.89828503829474e-05
58.0,1.0339977612648719e-05,5.465936353371409e-06,6.694340062876897e-07,6.553455207034023e-05
59.0,1.0166854317910962e-05,5.17284676243375e-06,6.053033509108258e-07,6.223218055523276e-05
60.0,9.918551632251238e-06,5.012058044505758e-06,5.534136819648727e-07,5.883487358841023e-05
61.0,9.706587124652524e-06,4.853577311038382e-06,5.14316809610233e-07,5.572171986614765e-05
62.0,9.539915784595578e-06,4.71894929393912e-06,4.89384470667631e-07,5.2956531869648176e-05
63.0,9.310441806129733e-06,4.623306146444836e-06,4.565351105698548e-07,5.032082939471625e-05
64.0,9.123243855864425e-06,4.537386381006279e-06,4.3360835703400927e-07,4.7986588912920184e-05
65.0,8.942121995055336e-06,4.458747669644703e-06,4.115467585514993e-07,4.590206115371292e-05
66.0,8.772407159773418e-06,4.3832826934112055e-06,3.919048485048905e-07,4.4041095752521215e-05
67.0,8.61470780769422e-06,4.308799077656641e-06,3.7463316714135843e-07,4.233486154620251e-05
68.0,8.463834424751874e-06,4.240895337989336e-06,3.578390929325382e-07,4.0775860639673286e-05
69.0,8.323735522447886e-06,4.170674720279275e-06,3.429134103483242e-07,3.937882465211731e-05
70.0,8.193398231756388e-06,4.102196389833546e-06,3.2901281299565847e-07,3.810807763548216e-05
71.0,8.085311674018447e-06,4.03217885762901e-06,3.2187207963555633e-07,3.7007815701133734e-05
72.0,7.975349678356238e-06,3.968694580098828e-06,3.1193635135748176e-07,3.594255616118094e-05
73.0,7.858384367274498e-06,3.915079182985732e-06,2.9440964958699335e-07,3.4929675185728085e-05
74.0,7.75896151549665e-06,3.857727755890401e-06,2.896951780264014e-07,3.3940294991598684e-05
75.0,7.661662745818269e-06,3.8019642203238114e-06,2.764677150349681e-07,3.3073682547077803e-05
76.0,7.5651016036107275e-06,3.7449164407061077e-06,2.6785061929037e-07,3.2197653411758474e-05
77.0,7.472870965421205e-06,3.688703564511826e-06,2.6078454051329597e-07,3.135482319347387e-05
78.0,7.397865974079466e-06,3.63541205859286e-06,2.56941760115156e-07,3.06560008610061e-05
79.0,7.305225784175011e-06,3.58345137529189e-06,2.4785637964629963e-07,2.9860442328595096e-05
80.0,7.227237028285808e-06,3.5308472099514223e-06,2.4297805135852977e-07,2.9167404271938707e-05
81.0,7.1515378855279626e-06,3.4877632336085007e-06,2.3756020782385109e-07,2.8497439378052068e-05
82.0,7.0774999356479504e-06,3.439932031594654e-06,2.3251978607668945e-07,2.7846196843007874e-05
83.0,6.997097105724548e-06,3.3880510799471212e-06,2.2693734550841921e-07,2.7190170310600718e-05
84.0,6.936339275983234e-06,3.3471493340671004e-06,2.2344433245700774e-07,2.6627118480547795e-05
85.0,6.865289375508639e-06,3.298980027862971e-06,2.190927510658862e-07,2.603733243861193e-05
86.0,6.85873913132799e-06,3.2231280503225997e-06,2.453652499518257e-07,2.5680729568056546e-05
87.0,6.765986533022595e-06,3.203617758411765e-06,2.2191890241713268e-07,2.5064897681730842e-05
88.0,6.7004083642272815e-06,3.1622948275183157e-06,2.1595568774487448e-07,2.455157273398104e-05
89.0,6.642153014595676e-06,3.1167579107660807e-06,2.141296209039282e-07,2.4079064720898743e-05
90.0,6.56751971714205e-06,3.0819877877844615e-06,2.0129963065902474e-07,2.3545275673334318e-05
91.0,6.508107316538255e-06,3.0469884338593777e-06,1.980500102799391e-07,2.306866083157278e-05
92.0,6.4560542514144906e-06,3.000667521217486e-06,1.9937733148092885e-07,2.2636013747475148e-05
93.0,6.4116882532253425e-06,2.9531220253939062e-06,2.0348495463386571e-07,2.2251426250110408e-05
94.0,6.36268432294659e-06,2.915510507365931e-06,2.0096362081132796e-07,2.1849535223776127e-05
95.0,6.315017557667917e-06,2.8760674595822446e-06,2.0042105082820752e-07,2.146671600633556e-05
96.0,6.26182388501161e-06,2.8465005909528773e-06,1.930258158149011e-07,2.105952359753563e-05
97.0,6.213593629417414e-06,2.814779343827574e-06,1.885528490939594e-07,2.0680661736003476e-05
98.0,6.169296802427052e-06,2.77984741932203e-06,1.8683939882748743e-07,2.0325289019732818e-05
99.0,6.127267212246112e-06,2.7471533965775745e-06,1.842363988915607e-07,1.9984585321856756e-05
100.0,6.0878969033211696e-06,2.702201646403975e-06,1.8869294489081385e-07,1.966776821730419e-05
101.0,6.044194274312874e-06,2.682398474404112e-06,1.791214428054349e-07,1.9334266055719493e-05
102.0,5.997538801129093e-06,2.663018137571032e-06,1.672007617310405e-07,1.897257894888277e-05
103.0,5.961051552044481e-06,2.629808145112401e-06,1.6503220632924e-07,1.8664862828109023e-05
104.0,5.923496152348006e-06,2.5975760543785052e-06,1.6254786024619955e-07,1.8371566833643165e-05
105.0,5.887434431586935e-06,2.5728333731073466e-06,1.5892151062435216e-07,1.8091978231076062e-05
106.0,5.852243684262781e-06,2.5394149339959562e-06,1.5803717601981308e-07,1.782355353843786e-05
107.0,5.822171056015414e-06,2.50291390153134e-06,1.609598711846995e-07,1.7569303454492048e-05
108.0,5.788509615509068e-06,2.4659709651487943e-06,1.6252940318874535e-07,1.7331062872387673e-05
109.0,5.7544650670505375e-06,2.4395523457837847e-06,1.5958449180739807e-07,1.7072395919367148e-05
110.0,5.724051425378544e-06,2.4080560128666472e-06,1.6043846003886867e-07,1.683776669386163e-05
111.0,5.690131131461013e-06,2.3850855943968327e-06,1.5571464629102954e-07,1.6583940455116906e-05
112.0,5.660935643000088e-06,2.3532559636623794e-06,1.5621364985824742e-07,1.6356710028899385e-05
113.0,5.6303130060964475e-06,2.3284473668350687e-06,1.5277342601718855e-07,1.613504359161144e-05
114.0,5.601551536572333e-06,2.2963535909671606e-06,1.5371706410882888e-07,1.5909365080313822e-05
115.0,5.5731896052950975e-06,2.2712245379271986e-06,1.511401011893634e-07,1.5691969488240792e-05
116.0,5.5451530613955895e-06,2.243334631691233e-06,1.5045716339533414e-07,1.54801527632466e-05
117.0,5.517648316076304e-06,2.2194123380409273e-06,1.4737367881081824e-07,1.5267573496634257e-05
118.0,5.4905698205522365e-06,2.195502348188734e-06,1.4504050142447195e-07,1.5057477615213778e-05
119.0,5.463071035758282e-06,2.1741702347830617e-06,1.4114108249006752e-07,1.4847198296675797e-05
120.0,5.444341504619487e-06,2.1388274920135546e-06,1.4768064851043942e-07,1.4695473544516182e-05
121.0,5.426936632245276e-06,2.1067391128264027e-06,1.5131633267651848e-07,1.4510273340130429e-05
122.0,5.395468172315606e-06,2.09188821959654e-06,1.4313352535047972e-07,1.42961028971057e-05
123.0,5.366965676534264e-06,2.077010309513624e-06,1.3463822569637415e-07,1.4054553356517855e-05
124.0,5.345850932688991e-06,2.0520184198904015e-06,1.3406584157132656e-07,1.386180739140657e-05
125.0,5.323959427765297e-06,2.029337220178382e-06,1.31732540617141e-07,1.3658559766521232e-05
